Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1637862270160344703    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1637862270170447711    197.960845    98.980423    98.980422    1.000000    1.000000    1.000000    20.155239    20.155239    20.155239
2    2    1637862270180531848    148.609424    99.072952    99.165650    1.000000    1.000000    1.000000    20.295019    20.295019    20.435060
3    3    1637862270190613242    132.150415    99.112808    99.192631    1.000000    1.000000    1.000000    20.424172    20.424172    20.682790
4    4    1637862270200690855    123.927556    99.142044    99.229847    1.000000    1.000000    1.000000    20.564456    20.564456    20.985805
5    5    1637862270210765781    118.997852    99.164871    99.256312    1.000000    1.000000    1.000000    20.505110    20.505110    20.267456
6    6    1637862270220862485    115.668482    99.144417    99.042222    1.000000    1.000000    1.000000    20.835869    20.835869    22.487614
7    7    1637862270230948451    113.308432    99.144875    99.147667    1.000000    1.000000    1.000000    20.808555    20.808555    20.644670
8    8    1637862270241026642    111.549129    99.154785    99.224156    1.000000    1.000000    1.000000    20.788749    20.788749    20.649998
9    9    1637862270251106425    110.178606    99.160744    99.208485    1.000000    1.000000    1.000000    20.929833    20.929833    22.059113
10    10    1637862270261187995    109.080136    99.163765    99.190900    1.000000    1.000000    1.000000    20.941414    20.941414    21.045677
11    11    1637862270271259840    108.190823    99.174927    99.286675    1.000000    1.000000    1.000000    21.031693    21.031693    21.935604
12    12    1637862270281356711    107.427355    99.163712    99.040584    1.000000    1.000000    1.000000    21.032973    21.032973    21.047031
13    13    1637862270291441831    106.791050    99.163124    99.155984    1.000000    1.000000    1.000000    21.086921    21.086921    21.734249
14    14    1637862270301533905    106.240419    99.157722    99.087660    1.000000    1.000000    1.000000    21.023075    21.023075    20.193707
15    15    1637862270311615157    105.770820    99.160141    99.194029    1.000000    1.000000    1.000000    21.077684    21.077684    21.842484
16    16    1637862270321700779    105.357049    99.159576    99.151049    1.000000    1.000000    1.000000    21.164047    21.164047    22.459371
17    17    1637862270331783286    104.993868    99.160873    99.181682    1.000000    1.000000    1.000000    21.181357    21.181357    21.458390
18    18    1637862270341864441    104.671813    99.162766    99.194983    1.000000    1.000000    1.000000    21.209428    21.209428    21.686794
19    19    1637862270351943586    104.384742    99.165504    99.214765    1.000000    1.000000    1.000000    21.198850    21.198850    21.008351
20    20    1637862270362027768    104.123765    99.165489    99.165207    1.000000    1.000000    1.000000    21.228142    21.228142    21.784691
21    21    1637862270372112242    103.887499    99.165337    99.162336    1.000000    1.000000    1.000000    21.283437    21.283437    22.389299
22    22    1637862270382193578    103.674179    99.166603    99.193202    1.000000    1.000000    1.000000    21.335382    21.335382    22.426539
23    23    1637862270392272215    103.480608    99.168915    99.219766    1.000000    1.000000    1.000000    21.347468    21.347468    21.613485
24    24    1637862270402354071    103.301786    99.169708    99.188086    1.000000    1.000000    1.000000    21.433670    21.433670    23.416719
25    25    1637862270412432158    103.138810    99.171936    99.225180    1.000000    1.000000    1.000000    21.435217    21.435217    21.472344
26    26    1637862270422512144    102.987617    99.173264    99.206487    1.000000    1.000000    1.000000    21.445219    21.445219    21.695364
27    27    1637862270432594047    102.846896    99.173790    99.187624    1.000000    1.000000    1.000000    21.466716    21.466716    22.025718
28    28    1637862270442677420    102.715691    99.173775    99.173164    1.000000    1.000000    1.000000    21.493808    21.493808    22.225285
29    29    1637862270452763015    102.592754    99.172997    99.151314    1.000000    1.000000    1.000000    21.524712    21.524712    22.389836
30    30    1637862270730224624    54.397425    52.642666    3.604102    1.000000    1.000000    1.000000    19.669403    19.669403    17.714083
31    31    1637862270740297563    55.176898    52.645443    99.275892    1.000000    1.000000    1.000000    19.639605    19.630463    17.953764
32    32    1637862270756025582    55.398790    52.129154    63.580798    1.000000    1.000000    1.000000    19.542072    19.515660    15.945648
33    33    1637862270766092886    56.128934    52.130428    99.331460    1.000000    1.000000    1.000000    19.493070    19.444097    16.593640
34    34    1637862270776158838    56.835331    52.131485    99.344801    1.000000    1.000000    1.000000    19.440559    19.361763    16.280566
35    35    1637862270786225448    57.518945    52.132240    99.338308    1.000000    1.000000    1.000000    19.388425    19.290582    16.199165
36    36    1637862270796290233    58.181084    52.135132    99.356320    1.000000    1.000000    1.000000    19.338117    19.180598    16.209683
37    37    1637862270806356482    58.822457    52.136913    99.341870    1.000000    1.000000    1.000000    19.289994    19.103663    16.249769
38    38    1637862270816420704    59.444333    52.138180    99.361878    1.000000    1.000000    1.000000    19.243825    19.027196    16.280332
39    39    1637862270826487126    60.047219    52.139393    99.340163    1.000000    1.000000    1.000000    19.201577    18.928959    16.448061
40    40    1637862270836552767    60.632226    52.140835    99.347871    1.000000    1.000000    1.000000    19.156818    18.844034    16.194661
41    41    1637862270846618225    61.200088    52.141418    99.349677    1.000000    1.000000    1.000000    19.136189    18.770782    17.750326
42    42    1637862270856683328    61.751565    52.144295    99.353181    1.000000    1.000000    1.000000    19.095437    18.687903    16.316807
43    43    1637862270866778632    62.284664    52.143368    99.055957    1.000000    1.000000    1.000000    19.054167    18.590981    16.207535
44    44    1637862270876844705    62.805303    52.145729    99.343607    1.000000    1.000000    1.000000    19.014048    18.521005    16.198514
45    45    1637862270886910415    63.311548    52.147137    99.347190    1.000000    1.000000    1.000000    18.974694    18.421725    16.173327
46    46    1637862270896975409    63.804020    52.149002    99.354257    1.000000    1.000000    1.000000    18.936660    18.311911    16.191154
47    47    1637862270907041811    64.283093    52.150467    99.340360    1.000000    1.000000    1.000000    18.899638    18.219639    16.190405
48    48    1637862270917107418    64.749490    52.151875    99.348206    1.000000    1.000000    1.000000    18.862954    18.122517    16.141658
49    49    1637862270927173361    65.203614    52.153072    99.344890    1.000000    1.000000    1.000000    18.828041    18.038366    16.203270
50    50    1637862271463224873    39.144045    27.243078    1.865492    1.000000    1.000000    1.000000    17.915677    17.309002    16.610528
51    51    1637862271473308625    39.605049    27.243095    99.169436    1.000000    1.000000    1.000000    17.909371    17.260516    17.094683
52    52    1637862271483385041    40.059247    27.243217    99.241635    1.000000    1.000000    1.000000    17.903215    17.211762    17.101071
53    53    1637862271493461015    40.506593    27.243286    99.245989    1.000000    1.000000    1.000000    17.897376    17.170733    17.130594
54    54    1637862271503538738    40.947174    27.243387    99.228764    1.000000    1.000000    1.000000    17.904460    17.128839    18.841595
55    55    1637862271513616288    41.381198    27.243401    99.230468    1.000000    1.000000    1.000000    17.898542    17.088912    17.109746
56    56    1637862271523692422    41.808850    27.243496    99.244413    1.000000    1.000000    1.000000    17.892674    17.046889    17.104578
57    57    1637862271533769661    42.230192    27.243612    99.233530    1.000000    1.000000    1.000000    17.887089    17.002079    17.131472
58    58    1637862271543846839    42.645399    27.243763    99.234131    1.000000    1.000000    1.000000    17.881343    16.955130    17.098264
59    59    1637862271553923203    43.054625    27.243992    99.242147    1.000000    1.000000    1.000000    17.875702    16.906690    17.101159
60    60    1637862271651247703    40.914801    32.572472    10.274905    1.000000    1.000000    1.000000    17.831848    16.694867    17.203913
61    61    1637862271661329573    41.306213    32.572155    99.187948    1.000000    1.000000    1.000000    17.826491    16.684815    17.034307
62    62    1637862271671406425    41.692539    32.773247    99.237341    1.000000    1.000000    1.000000    17.821235    16.701406    17.038247
63    63    1637862271681482712    42.073763    32.772923    99.242906    1.000000    1.000000    1.000000    17.815864    16.705993    17.010430
64    64    1637862271691559705    42.449950    32.772526    99.235953    1.000000    1.000000    1.000000    17.811064    16.714859    17.086464
65    65    1637862271701635532    42.821250    32.772198    99.247436    1.000000    1.000000    1.000000    17.806468    16.724859    17.108128
66    66    1637862271711711211    43.187731    32.771809    99.248894    1.000000    1.000000    1.000000    17.801954    16.734778    17.111408
67    67    1637862271721787662    43.549461    32.771442    99.241290    1.000000    1.000000    1.000000    17.797558    16.744359    17.120697
68    68    1637862271731865149    43.906524    32.770969    99.231088    1.000000    1.000000    1.000000    17.793157    16.753500    17.111367
69    69    1637862271741940757    44.259089    32.770638    99.249594    1.000000    1.000000    1.000000    17.788699    16.760599    17.093356
70    70    1637862271752021008    44.607060    32.770115    99.203879    1.000000    1.000000    1.000000    17.784207    16.770333    17.079428
71    71    1637862271762097628    44.950753    32.769714    99.239626    1.000000    1.000000    1.000000    17.780032    16.763411    17.120410
72    72    1637862271772171942    45.290214    32.769386    99.262342    1.000000    1.000000    1.000000    17.775659    16.771810    17.080405
73    73    1637862271782258269    45.625119    32.769707    99.144119    1.000000    1.000000    1.000000    17.783834    16.803576    19.090265
74    74    1637862271792351070    45.955703    32.768753    99.080523    1.000000    1.000000    1.000000    17.782544    16.818735    17.575242
75    75    1637862271802442050    46.282274    32.767845    99.098403    1.000000    1.000000    1.000000    17.781559    16.834688    17.622265
76    76    1637862271812528209    46.604993    32.767090    99.145770    1.000000    1.000000    1.000000    17.780878    16.850965    17.670022
77    77    1637862271822621286    46.923599    32.766132    99.077813    1.000000    1.000000    1.000000    17.778736    16.864590    17.428116
78    78    1637862271832705619    47.238607    32.765465    99.163723    1.000000    1.000000    1.000000    17.777461    16.880277    17.567304
79    79    1637862271842790586    47.549821    32.764782    99.157489    1.000000    1.000000    1.000000    17.776558    16.895941    17.626720
80    80    1637862271852875022    47.857341    76.992142    99.162710    1.000000    1.000000    1.000000    17.775869    17.308390    17.660937
81    81    1637862271862963481    48.161104    76.991211    99.123166    1.000000    1.000000    1.000000    17.773918    17.317501    17.446682
82    82    1637862271873045983    48.461457    76.990013    99.181731    1.000000    1.000000    1.000000    17.772079    17.326825    17.461530
83    83    1637862271883130641    48.758234    76.988289    99.160527    1.000000    1.000000    1.000000    17.770860    17.338030    17.563711
84    84    1637862271893212150    49.051646    76.987549    99.191500    1.000000    1.000000    1.000000    17.769123    17.302619    17.472331
85    85    1637862271903291846    49.341714    76.987122    99.209341    1.000000    1.000000    1.000000    17.766707    17.308867    17.351341
86    86    1637862271913400928    49.627615    76.980614    98.920950    1.000000    1.000000    1.000000    17.764517    17.316175    17.386939
87    87    1637862271923484449    49.910962    76.979370    99.171708    1.000000    1.000000    1.000000    17.761796    17.320241    17.288769
88    88    1637862271933565605    50.191152    76.978584    99.194973    1.000000    1.000000    1.000000    17.759371    17.326368    17.335206
89    89    1637862271943646332    50.468187    76.977722    99.199195    1.000000    1.000000    1.000000    17.757105    17.333026    17.358648
90    90    1637862272327400256    41.992463    44.368687    2.605837    1.000000    1.000000    1.000000    17.627196    17.175940    17.023505
91    91    1637862272337497387    42.257027    44.367683    99.038034    1.000000    1.000000    1.000000    17.620002    17.161629    16.076151
92    92    1637862272347567673    42.519671    44.368114    99.302046    1.000000    1.000000    1.000000    17.613210    17.148323    16.144765
93    93    1637862272357633512    42.779993    44.368801    99.345916    1.000000    1.000000    1.000000    17.606460    17.135364    16.139770
94    94    1637862272367698481    43.037958    44.369587    99.354504    1.000000    1.000000    1.000000    17.599675    17.120955    16.118425
95    95    1637862272377764379    43.293564    44.370243    99.345334    1.000000    1.000000    1.000000    17.593041    17.106514    16.138160
96    96    1637862272387829984    43.546865    44.370903    99.348226    1.000000    1.000000    1.000000    17.586345    17.091626    16.111343
97    97    1637862272397894933    43.797899    44.371655    99.354701    1.000000    1.000000    1.000000    17.579974    17.077473    16.170002
