          HB_NUM          HB_RATE      X_HAT_MINUS            X_HAT          P_MINUS                H                K                P          SPEEDUP            ERROR         WORKLOAD         LOWER_ID         UPPER_ID          NUM_HBS
              29        99.325844         0.200000        40.310080         1.000010         2.460000         0.405833         0.001650         1.236340       -49.325844         0.024808                0                1               10
              59        97.099266        40.310080        48.045751         0.001660         1.236340         0.163675         0.001324         1.000000       -47.099266         0.020813                0                0                0
              89        98.259277        48.045751        53.955321         0.001334         1.000000         0.117689         0.001177         1.000000       -48.259277         0.018534                0                0                0
             119        99.078026        53.955321        58.742675         0.001187         1.000000         0.106096         0.001061         1.000000       -49.078026         0.017023                0                0                0
             149        99.338684        58.742675        62.669781         0.001071         1.000000         0.096736         0.000967         1.000000       -49.338684         0.015957                0                0                0
             179        99.344376        62.669781        65.935081         0.000977         1.000000         0.089034         0.000890         1.000000       -49.344376         0.015166                0                0                0
             209        99.092552        65.935081        68.673813         0.000900         1.000000         0.082598         0.000826         1.000000       -49.092552         0.014562                0                0                0
             239        99.345772        68.673813        71.040103         0.000836         1.000000         0.077148         0.000771         1.000000       -49.345772         0.014077                0                0                0
             269        99.347267        71.040103        73.091914         0.000781         1.000000         0.072484         0.000725         1.000000       -49.347267         0.013681                0                0                0
             299        99.325829        73.091914        74.887720         0.000735         1.000000         0.068454         0.000685         1.000000       -49.325829         0.013353                0                0                0
             329        99.077042        74.887720        76.458648         0.000695         1.000000         0.064943         0.000649         1.000000       -49.077042         0.013079                0                0                0
             359        99.341034        76.458648        77.874235         0.000659         1.000000         0.061864         0.000619         1.000000       -49.341034         0.012841                0                0                0
             389        99.346146        77.874235        79.144202         0.000629         1.000000         0.059145         0.000591         1.000000       -49.346146         0.012635                0                0                0
             419        99.091019        79.144202        80.275849         0.000601         1.000000         0.056733         0.000567         1.000000       -49.091019         0.012457                0                0                0
             449        99.342186        80.275849        81.316529         0.000577         1.000000         0.054582         0.000546         1.000000       -49.342186         0.012298                0                0                0
             479        99.345352        81.316529        82.265843         0.000556         1.000000         0.052655         0.000527         1.000000       -49.345352         0.012156                0                0                0
             509        99.087097        82.265843        83.122432         0.000537         1.000000         0.050923         0.000509         1.000000       -49.087097         0.012030                0                0                0
             539        99.326675        83.122432        83.922276         0.000519         1.000000         0.049360         0.000494         1.000000       -49.326675         0.011916                0                0                0
             569        99.337845        83.922276        84.661384         0.000504         1.000000         0.047946         0.000479         1.000000       -49.337845         0.011812                0                0                0
             599        99.335930        84.661384        85.346124         0.000489         1.000000         0.046662         0.000467         1.000000       -49.335930         0.011717                0                0                0
             629        99.093338        85.346124        85.971531         0.000477         1.000000         0.045493         0.000455         1.000000       -49.093338         0.011632                0                0                0
             659        99.344818        85.971531        86.565677         0.000465         1.000000         0.044428         0.000444         1.000000       -49.344818         0.011552                0                0                0
             689        99.342010        86.565677        87.120857         0.000454         1.000000         0.043454         0.000435         1.000000       -49.342010         0.011478                0                0                0
             719        99.093483        87.120857        87.630433         0.000445         1.000000         0.042562         0.000426         1.000000       -49.093483         0.011412                0                0                0
             749        99.338280        87.630433        88.119158         0.000436         1.000000         0.041743         0.000417         1.000000       -49.338280         0.011348                0                0                0
             779        99.342918        88.119158        88.579234         0.000427         1.000000         0.040991         0.000410         1.000000       -49.342918         0.011289                0                0                0
             809        99.096985        88.579234        89.003089         0.000420         1.000000         0.040299         0.000403         1.000000       -49.096985         0.011236                0                0                0
             839        99.344231        89.003089        89.413230         0.000413         1.000000         0.039661         0.000397         1.000000       -49.344231         0.011184                0                0                0
             869        99.347366        89.413230        89.801380         0.000407         1.000000         0.039072         0.000391         1.000000       -49.347366         0.011136                0                0                0
             899        99.336876        89.801380        90.168768         0.000401         1.000000         0.038528         0.000385         1.000000       -49.336876         0.011090                0                0                0
             929        99.093887        90.168768        90.508148         0.000395         1.000000         0.038025         0.000380         1.000000       -49.093887         0.011049                0                0                0
             959        99.344765        90.508148        90.840048         0.000390         1.000000         0.037560         0.000376         1.000000       -49.344765         0.011008                0                0                0
